Catégorie : Toutes catégories

Mois,data
2004-01,9
2004-02,12
2004-03,13
2004-04,10
2004-05,11
2004-06,12
2004-07,6
2004-08,6
2004-09,10
2004-10,11
2004-11,17
2004-12,9
2005-01,5
2005-02,9
2005-03,11
2005-04,6
2005-05,6
2005-06,7
2005-07,10
2005-08,11
2005-09,11
2005-10,9
2005-11,7
2005-12,4
2006-01,5
2006-02,8
2006-03,5
2006-04,3
2006-05,7
2006-06,5
2006-07,6
2006-08,5
2006-09,5
2006-10,6
2006-11,6
2006-12,3
2007-01,7
2007-02,7
2007-03,5
2007-04,4
2007-05,6
2007-06,6
2007-07,6
2007-08,6
2007-09,6
2007-10,6
2007-11,8
2007-12,6
2008-01,6
2008-02,6
2008-03,5
2008-04,6
2008-05,6
2008-06,6
2008-07,5
2008-08,4
2008-09,6
2008-10,6
2008-11,6
2008-12,3
2009-01,5
2009-02,5
2009-03,6
2009-04,6
2009-05,5
2009-06,5
2009-07,5
2009-08,6
2009-09,5
2009-10,6
2009-11,7
2009-12,6
2010-01,7
2010-02,5
2010-03,6
2010-04,6
2010-05,5
2010-06,5
2010-07,4
2010-08,5
2010-09,6
2010-10,5
2010-11,7
2010-12,5
2011-01,6
2011-02,6
2011-03,5
2011-04,6
2011-05,4
2011-06,6
2011-07,5
2011-08,6
2011-09,8
2011-10,5
2011-11,7
2011-12,5
2012-01,6
2012-02,6
2012-03,6
2012-04,6
2012-05,6
2012-06,6
2012-07,4
2012-08,6
2012-09,8
2012-10,8
2012-11,7
2012-12,6
2013-01,7
2013-02,8
2013-03,7
2013-04,9
2013-05,9
2013-06,8
2013-07,8
2013-08,9
2013-09,10
2013-10,10
2013-11,9
2013-12,10
2014-01,12
2014-02,12
2014-03,11
2014-04,13
2014-05,13
2014-06,12
2014-07,11
2014-08,14
2014-09,18
2014-10,16
2014-11,14
2014-12,14
2015-01,17
2015-02,17
2015-03,18
2015-04,19
2015-05,19
2015-06,19
2015-07,19
2015-08,21
2015-09,25
2015-10,24
2015-11,22
2015-12,21
2016-01,24
2016-02,29
2016-03,24
2016-04,23
2016-05,25
2016-06,26
2016-07,27
2016-08,27
2016-09,31
2016-10,31
2016-11,30
2016-12,31
2017-01,39
2017-02,40
2017-03,43
2017-04,40
2017-05,42
2017-06,41
2017-07,40
2017-08,45
2017-09,49
2017-10,54
2017-11,50
2017-12,46
2018-01,51
2018-02,54
2018-03,56
2018-04,57
2018-05,58
2018-06,58
2018-07,61
2018-08,62
2018-09,62
2018-10,69
2018-11,63
2018-12,60
2019-01,72
2019-02,76
2019-03,72
2019-04,74
2019-05,72
2019-06,79
2019-07,77
2019-08,79
2019-09,90
2019-10,86
2019-11,84
2019-12,82
2020-01,95
2020-02,98
2020-03,82
2020-04,83
2020-05,84
2020-06,88
2020-07,91
2020-08,94
2020-09,100
2020-10,87
2020-11,74
2020-12,74
2021-01,78
2021-02,78
2021-03,77
2021-04,80
2021-05,82
2021-06,87
2021-07,80
2021-08,82
2021-09,93
2021-10,77
2021-11,74
2021-12,72
2022-01,63
